u,v,key,osmid,highway,maxspeed,name,oneway,reversed,length,geometry,lanes,ref,junction,width,bridge,access,tunnel,service,est_width
17705491,25954685,0,4003181,unclassified,20 mph,The Mall,True,False,61.054371110766056,"LINESTRING (-2.6204678 51.4544945, -2.6208471 51.4549901)",,,,,,,,,
17705491,830454660,0,4067629,unclassified,20 mph,Princess Victoria Street,False,True,104.93686589335496,"LINESTRING (-2.6204678 51.4544945, -2.6218577 51.4541197)",,,,,,,,,
17705491,21037691,0,975395784,unclassified,20 mph,Princess Victoria Street,True,False,40.14314690032338,"LINESTRING (-2.6204678 51.4544945, -2.6199461 51.4546515)",,,,,,,,,
18483009,11664929738,0,1254842423,primary,20 mph,Anchor Road,True,False,4.222141699061112,"LINESTRING (-2.6036738 51.4505521, -2.6036133 51.4505566)",2,A4,,,,,,,
18483009,11664929739,0,1254842427,unclassified,,Lower Lamb Street,True,False,7.549367122009788,"LINESTRING (-2.6036738 51.4505521, -2.6036263 51.4506132)",,,,,,,,,
18483014,286873768,0,26199283,pedestrian,,Cathedral Walk,False,False,8.583314213154777,"LINESTRING (-2.6032522 51.449154, -2.60332 51.4490894)",,,,,,no,,,
18483014,2890143689,0,26199283,pedestrian,,Cathedral Walk,False,True,10.638774703050958,"LINESTRING (-2.6032522 51.449154, -2.603175 51.4492367)",,,,,,no,,,
18483014,11664929742,0,285346599,unclassified,,Canons Way,True,False,35.7891759596158,"LINESTRING (-2.6032522 51.449154, -2.6033207 51.4491961, -2.6033989 51.4492492, -2.6034612 51.4493085, -2.6035016 51.4493525, -2.603536 51.4494173)",1,,,4.5,,,,,
18483296,11497414273,0,3730254,primary,30 mph,Anchor Road,True,False,40.86246517665839,"LINESTRING (-2.6058912 51.4505087, -2.6057026 51.4505172, -2.6056322 51.4505204, -2.6053033 51.4505036)",2,A4,,,,,,,
18483296,4346554544,0,250047661,primary,30 mph,Anchor Road,False,False,64.34966088240887,"LINESTRING (-2.6058912 51.4505087, -2.6059817 51.4505138, -2.6062223 51.4505397, -2.6063878 51.4505478, -2.6066095 51.4505519, -2.6068148 51.4505431)",4,A4,,,,,,,
18483301,430666878,0,4002733,primary,30 mph,,True,False,17.40776863050089,"LINESTRING (-2.6161388 51.4498966, -2.616389 51.4498826)",2,A4,,,,,,,
18483301,1227827732,0,69590815,primary,30 mph,Hotwell Road,False,True,31.692546139907186,"LINESTRING (-2.6161388 51.4498966, -2.615694 51.4498303)",2,A4,,,,,,,
18483652,2554328819,0,135422563,primary,20 mph,Anchor Road,False,False,7.6947323364600955,"LINESTRING (-2.6023591 51.4506178, -2.602469 51.4506079)",4,A4,,,,,,,
18483652,2279682192,0,230108676,primary,20 mph,Anchor Road,False,True,24.52948829286596,"LINESTRING (-2.6023591 51.4506178, -2.6020096 51.4506528)",4,A4,,,,,,,
18483652,2189622265,0,27375921,residential,,College Square,False,False,63.99183201443622,"LINESTRING (-2.6023591 51.4506178, -2.6023972 51.4507994, -2.6024216 51.4509324, -2.6024243 51.4510026, -2.6023968 51.4510618, -2.6023905 51.4511287, -2.6024003 51.451188)",,,,,,,,,
18483657,1692983943,0,3730325,primary,20 mph,Anchor Road,False,False,8.012099241467235,"LINESTRING (-2.5987349 51.4514704, -2.5987977 51.4514099)",3,A4,,,,,,,
18483657,1514665712,0,431578441,primary_link,20 mph,Canons Road,True,False,63.76078913062436,"LINESTRING (-2.5987349 51.4514704, -2.5986114 51.4516927, -2.5984779 51.4519174, -2.5984517 51.4520146)",2,A4,,,,,,,
20000369,26153253,0,4315894,unclassified,20 mph,Christmas Street,True,False,60.16803636134565,"LINESTRING (-2.5958888 51.4563198, -2.5952264 51.4559699)",,,,,,,,,
20000369,1108314802,0,177586105,primary,20 mph,Rupert Street,True,False,112.11915343214841,"LINESTRING (-2.5958888 51.4563198, -2.5959377 51.4562224, -2.5960588 51.4558897, -2.596169 51.4556571, -2.5962388 51.4555385, -2.59638 51.4553947, -2.5964032 51.4553711)",2,A38,,,,,,,
21031938,21529852,0,"[279444018, 4067398]",primary,"['20 mph', '30 mph']",Merchants Road,True,False,43.64844501213816,"LINESTRING (-2.6185777 51.4487363, -2.6186277 51.4484698, -2.6186644 51.4483477)",1,A3029,,,,,,,
21031938,21031941,0,25684391,primary,30 mph,Cumberland Basin Road,True,False,42.498296675900306,"LINESTRING (-2.6185777 51.4487363, -2.6187231 51.4485734, -2.6188331 51.4485107, -2.6189914 51.4484815)",2,A4,,,,,,,
