node_id,lat,lon,tags
25289355,52.0564591,-1.3528074,{}
8532106464,52.0563633,-1.3529013,"{'crossing': 'unmarked', 'crossing:markings': 'no', 'highway': 'crossing', 'tactile_paving': 'yes'}"
25289359,52.0564967,-1.3528827,{}
11346216415,52.0565457,-1.3529381,{}
8532106465,52.056462,-1.3530268,"{'crossing': 'unmarked', 'crossing:markings': 'no', 'highway': 'crossing', 'tactile_paving': 'yes'}"
3260566,52.0566022,-1.3529693,{}
25289347,52.0566475,-1.3529753,{}
25289357,52.0566926,-1.3529655,{}
13797610,52.0567353,-1.3529405,{}
5612292257,52.0568206,-1.3530807,"{'crossing': 'unmarked', 'crossing:island': 'no', 'crossing:markings': 'no', 'highway': 'crossing', 'tactile_paving': 'no'}"
9120897861,52.0568382,-1.353045,"{'barrier': 'kerb', 'kerb': 'flush', 'tactile_paving': 'no', 'wheelchair': 'yes'}"
25289348,52.0567783,-1.3528954,{}
9120945810,52.0568135,-1.3528351,{}
3260621,52.0568388,-1.3527629,{}
25289349,52.056852,-1.3526913,{}
25289509,52.0586314,-1.3499303,{}
28225499,52.0590258,-1.3466222,{}
9124503446,52.0590245,-1.3465802,{}
1980090266,52.0591193,-1.3437568,{}
10241931,52.0594741,-1.3430234,{}
8631690404,52.0601725,-1.3407122,"{'barrier': 'kerb', 'kerb': 'flush', 'tactile_paving': 'yes', 'wheelchair': 'yes'}"
9481488082,52.0603079,-1.3404828,{}
8697729025,52.0603605,-1.3404297,{}
746900392,52.0604568,-1.3402929,"{'button_operated': 'yes', 'crossing': 'traffic_signals', 'crossing_ref': 'pelican', 'highway': 'crossing', 'tactile_paving': 'yes', 'traffic_signals': 'pedestrian_crossing', 'traffic_signals:direction': 'forward', 'traffic_signals:sound': 'yes', 'traffic_signals:vibration': 'yes'}"
2440774256,52.0604469,-1.3402191,{}
8696914983,52.0603667,-1.3401452,{}
8696914984,52.0602873,-1.3401411,{}
8631690412,52.0604578,-1.3400054,{}
8631690411,52.0603391,-1.3399746,{}
9123129404,52.0603113,-1.3399067,{}
8631690410,52.0603094,-1.3398114,{}
9123129405,52.0602882,-1.3398042,"{'barrier': 'kerb', 'kerb': 'flush', 'wheelchair': 'yes'}"
12088913731,52.0605219,-1.3338712,{}
9977423631,52.0605486,-1.334086,{}
9977423633,52.0604413,-1.3341172,{}
9977423635,52.060351,-1.3341412,{}
9977423632,52.0603332,-1.3341458,{}
410023,52.060556,-1.3341456,{}
25289488,52.0606113,-1.3345604,{}
414912425,52.0605835,-1.3346673,{}
414912430,52.0605341,-1.3348051,{}
414912431,52.0604299,-1.3349515,{}
414912424,52.0602729,-1.3350262,{}
6946123124,52.0602051,-1.3350699,{}
8279054360,52.0597287,-1.335377,{}
414912434,52.0591733,-1.335735,{}
8425607906,52.0594566,-1.336607,"{'direction': 'forward', 'highway': 'give_way'}"
428625989,52.0594146,-1.3366293,{}
8411922484,52.0593437,-1.3366622,"{'traffic_sign': 'Restricted_Access', 'traffic_sign:direction': 'backward'}"
602330985,52.0594691,-1.3367756,{}
1963852830,52.059527,-1.3368822,{}
8712199327,52.0594841,-1.3369805,{}
8712199325,52.0594701,-1.3370127,{}
1963852648,52.0595938,-1.3369722,{}
8712199328,52.059543,-1.3370617,{}
8712199332,52.0595685,-1.3370865,{}
428625979,52.0596538,-1.3370414,{}
